Secondes;Freq   ;ohms;phase
1;10000;10733,97;-0,25
1,09;10000;10813,24;-0,31
1,19;10000;10863,48;-0,35
1,28;10000;10892,43;-0,37
1,38;10000;10909,69;-0,38
1,48;10000;10919,04;-0,39
1,57;10000;10924,52;-0,39
1,67;10000;10929,34;-0,4
1,77;10000;10932,72;-0,4
1,86;10000;10933,12;-0,4
1,96;10000;10932,86;-0,4
2,06;10000;10933,63;-0,4
2,15;10000;10935,46;-0,4
2,25;10000;10935,97;-0,4
2,34;10000;10936;-0,4
2,44;10000;10934,95;-0,4
2,54;10000;10934,8;-0,4
2,63;10000;10936,28;-0,4
2,73;10000;10937,71;-0,4
2,83;10000;10937,97;-0,4
2,92;10000;10936,54;-0,4
3,02;10000;10934,73;-0,4
3,12;10000;10935,76;-0,4
3,21;10000;10937,07;-0,4
3,31;10000;10938,91;-0,4
3,4;10000;10938,14;-0,4
3,5;10000;10936,82;-0,4
3,6;10000;10935,91;-0,4
3,69;10000;10938,13;-0,4
3,79;10000;10938,52;-0,4
3,88;10000;10937,88;-0,4
3,98;10000;10937,34;-0,4
4,08;10000;10936,03;-0,4
4,17;10000;10936,04;-0,4
4,27;10000;10938,39;-0,4
4,37;10000;10938,81;-0,4
4,46;10000;10938;-0,4
4,56;10000;10936,05;-0,4
4,66;10000;10936,05;-0,4
4,75;10000;10936,58;-0,4
4,85;10000;10938,7;-0,4
4,94;10000;10938,42;-0,4
5,04;10000;10936,96;-0,4
5,14;10000;10935,91;-0,4
5,23;10000;10936,58;-0,4
5,33;10000;10938,64;-0,4
5,43;10000;10938,02;-0,4
5,52;10000;10937,34;-0,4
5,62;10000;10935,79;-0,4
5,71;10000;10935,54;-0,4
5,81;10000;10937,73;-0,4
5,91;10000;10937,9;-0,4
6;10000;10936,99;-0,4
6,1;10000;10936,06;-0,4
6,2;10000;10935,93;-0,4
6,29;10000;10937,38;-0,4
6,39;10000;10938,34;-0,4
6,48;10000;10938,22;-0,4
6,58;10000;10935,61;-0,4
6,68;10000;10934,57;-0,4
6,77;10000;10934,8;-0,4
6,87;10000;10936,77;-0,4
6,97;10000;10936,13;-0,4
7,06;10000;10935,99;-0,4
7,16;10000;10934,7;-0,4
7,25;10000;10934,82;-0,4
7,35;10000;10936,65;-0,4
7,45;10000;10937,83;-0,4
7,54;10000;10937,69;-0,4
7,64;10000;10936,66;-0,4
7,74;10000;10934,31;-0,4
7,83;10000;10935,21;-0,4
7,93;10000;10937,56;-0,4
8,02;10000;10938,21;-0,4
8,12;10000;10936,4;-0,4
8,22;10000;10934,3;-0,4
8,31;10000;10934,83;-0,4
8,41;10000;10936,12;-0,4
8,51;10000;10937,05;-0,4
8,6;10000;10935,76;-0,4
8,7;10000;10934,18;-0,4
8,8;10000;10933,8;-0,4
8,89;10000;10934,84;-0,4
8,99;10000;10937,05;-0,4
9,08;10000;10935,92;-0,4
9,18;10000;10934,08;-0,4
9,28;10000;10934,21;-0,4
9,37;10000;10932,79;-0,4
9,47;10000;10933,95;-0,4
9,56;10000;10935,39;-0,4
9,66;10000;10934,74;-0,4
9,76;10000;10932,88;-0,4
9,85;10000;10932,25;-0,4
9,95;10000;10934,22;-0,4
